Trial_actual,Sex,Fish ID,TL (cm),SVL (cm),BD (cm),photo_measured,Datasheet,population
6,Male,T06M15,90.482,35.743,1.99,start1,phenotype_data,PP
6,Male,T06M16,98.196,37.265,2.199,start1,phenotype_data,PP
7,Female,T07F05,91.6,NA,3,start1,MesocosmMeasurements,MA
7,Female,T07F06,83.9,NA,2.7,start1,MesocosmMeasurements,MA
7,Female,T07F07,93.7,NA,2.6,start1,MesocosmMeasurements,MA
7,Female,T07F08,97.1,NA,3.9,start1,MesocosmMeasurements,MA
7,Female,T07F01,122.2,NA,5.6,start1,MesocosmMeasurements,PP
7,Female,T07F02,108.1,NA,5.3,start1,MesocosmMeasurements,PP
7,Female,T07F03,113.4,NA,5.2,start1,MesocosmMeasurements,PP
7,Female,T07F04,114.1,NA,6.2,start1,MesocosmMeasurements,PP
7,Male,T07M05,100.681,41.353,2.159,start2,phenotype_data,MA
7,Male,T07M06,104.449,40.799,2.72,start1,phenotype_data,MA
7,Male,T07M07,93.336,39.2,2.363,start2,phenotype_data,MA
7,Male,T07M08,100.952,37.171,2.312,start2,phenotype_data,MA
7,Male,T07M01,83.76,30.35,1.676,start1,phenotype_data,PP
7,Male,T07M02,90.422,33.648,1.829,start1,phenotype_data,PP
7,Male,T07M03,88.903,36.72,1.792,start2,phenotype_data,PP
7,Male,T07M04,77.521,29.565,1.795,start1,phenotype_data,PP
8,Female,T08F05,105.9,NA,5.1,start1,MesocosmMeasurements,MA
8,Female,T08F06,112.3,NA,5.5,start1,MesocosmMeasurements,MA
8,Female,T08F07,112.8,NA,5.4,start1,MesocosmMeasurements,MA
8,Female,T08F08,113.7,NA,5.6,start3,MesocosmMeasurements,MA
8,Female,T08F01,91.4,NA,2.9,start1,MesocosmMeasurements,PP
8,Female,T08F02,88,NA,3.5,start1,MesocosmMeasurements,PP
8,Female,T08F03,102.3,NA,3.2,start1,MesocosmMeasurements,PP
8,Female,T08F04,104.5,NA,4.3,start1,MesocosmMeasurements,PP
8,Male,T08M05,83.407,29.698,1.981,start2,phenotype_data,MA
8,Male,T08M06,78.225,31.862,1.733,start1,phenotype_data,MA
8,Male,T08M07,78.419,30.127,1.631,start1,phenotype_data,MA
8,Male,T08M08,79.103,29.296,NA,start2,phenotype_data,MA
8,Male,T08M01,105.131,40.749,2.78,start2,phenotype_data,PP
8,Male,T08M02,106.4,41.899,2.39,start2,phenotype_data,PP
8,Male,T08M03,117.507,44.013,2.77,start2,phenotype_data,PP
8,Male,T08M04,95.49,35.32,1.775,start1,phenotype_data,PP
9,Female,T09F01,94.8,NA,3.6,start1,MesocosmMeasurements,MA
9,Female,T09F02,100.8,NA,4,start1,MesocosmMeasurements,MA
9,Female,T09F03,98.7,NA,3.9,start1,MesocosmMeasurements,MA
9,Female,T09F04,96,NA,4.2,start1,MesocosmMeasurements,MA
9,Female,T09F05,116.4,NA,5.6,start1,MesocosmMeasurements,PP
9,Female,T09F06,99.2,NA,4.8,start1,MesocosmMeasurements,PP
9,Female,T09F07,109,NA,5.2,start1,MesocosmMeasurements,PP
9,Female,T09F08,103.2,NA,5.5,start1,MesocosmMeasurements,PP
9,Male,T09M01,96.465,37.236,2.138,start1,phenotype_data,MA
9,Male,T09M02,84.623,30.236,2.022,start1,phenotype_data,MA
9,Male,T09M03,94.474,37.942,2.647,start1,phenotype_data,MA
9,Male,T09M04,91.885,34.831,2.208,start1,phenotype_data,MA
9,Male,T09M05,104.532,38.997,2.385,start1,phenotype_data,PP
9,Male,T09M06,89.268,33.07,2.148,start1,phenotype_data,PP
9,Male,T09M07,102.811,44.446,2.633,start1,phenotype_data,PP
9,Male,T09M08,84.767,31.945,2.007,start1,phenotype_data,PP
10,Female,T10F01,94.4,NA,3.6,start2,MesocosmMeasurements,MA
10,Female,T10F02,94.7,NA,4.3,start1,MesocosmMeasurements,MA
10,Female,T10F03,96.4,NA,3.8,start1,MesocosmMeasurements,MA
10,Female,T10F04,102.8,NA,3.6,start1,MesocosmMeasurements,MA
10,Female,T10F05,109.2,NA,5.1,start1,MesocosmMeasurements,PP
10,Female,T10F06,101.6,NA,4.2,start1,MesocosmMeasurements,PP
10,Female,T10F07,108,NA,4.7,start1,MesocosmMeasurements,PP
10,Female,T10F08,113.5,NA,5,start1,MesocosmMeasurements,PP
10,Male,T10M01,101.025,39.051,1.997,start1,phenotype_data,MA
10,Male,T10M02,92.986,35.244,2.197,start1,phenotype_data,MA
10,Male,T10M03,103.442,40.467,2.201,start1,phenotype_data,MA
10,Male,T10M04,94.343,35.662,2.111,start1,phenotype_data,MA
10,Male,T10M05,105.312,42.124,2.589,start1,phenotype_data,PP
10,Male,T10M06,102.667,38.597,2.436,start1,phenotype_data,PP
10,Male,T10M07,93.492,34.475,1.96,start1,phenotype_data,PP
10,Male,T10M08,93.065,39.904,2.317,start2,phenotype_data,PP
NA,Male,T05M08,101.894,39.705,2.262,start1,phenotype_data,PP
NA,Male,T06M06,NA,NA,NA,NA,phenotype_data,MA
NA,Male,T06M07,NA,NA,NA,NA,phenotype_data,MA
NA,Male,T06M08,NA,NA,NA,NA,phenotype_data,MA
NA,Male,T06M01,NA,NA,NA,NA,phenotype_data,PP
NA,Male,T06M02,NA,NA,NA,NA,phenotype_data,PP
NA,Male,T06M03,NA,NA,NA,NA,phenotype_data,PP
NA,Male,T06M04,NA,NA,NA,NA,phenotype_data,PP
NA,Female,T06F06,92.4,NA,5.1,start2,MesocosmMeasurements,MA
NA,Female,T06F01,106.1,NA,4.7,start2,MesocosmMeasurements,PP
NA,Male,T05M02,NA,NA,NA,NA,phenotype_data,MA
NA,Male,T05M04,NA,NA,NA,NA,phenotype_data,MA
NA,Male,T05M05,NA,NA,NA,NA,phenotype_data,PP
NA,Male,T02M08,97.361,42.053,2.524,start3,phenotype_data,MA
NA,Male,T04M07,96.272,34.556,1.877,start2,phenotype_data,MA
NA,Male,T04M08,82.458,32.918,1.908,start3,phenotype_data,MA
